Track URI,Track Name,Album Name,Artist_Name,Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,region
spotify:track:2n7h09QrGitVul66b2D8Re,Part II,How High,Method Man;Redman,2001-01-01,244600,60,TRUE,m-airon,2022-03-06T00:12:51Z,"east coast hiphop,old school hiphop,hiphop,hardcore hiphop",RAL (Rush Associated Label),0.775,0.837,10,-4.965,0,0.39,0.0383,0,0.315,0.806,95.86,4,east
spotify:track:2EpUHz5TqbAAQ8iweD75p6,The Enemy (feat. Fat Joe),The Big Picture,Big L;Fat Joe,2016-07-15,168013,65,TRUE,m-airon,2024-10-13T09:47:20Z,"east coast hiphop,old school hiphop,hardcore hiphop,boombap,hiphop",RBC Records,0.606,0.649,11,-8.372,1,0.392,0.115,1.9e-4,0.824,0.877,174.081,4,east
spotify:track:1rJM37Dd4OcSJvzI84yCcP,Fu-Gee-La,The Score (Expanded Edition),Fugees;Ms. Lauryn Hill;Wyclef Jean;Pras,1996-02-13,260066,68,TRUE,m-airon,2019-04-05T00:02:43Z,"east coast hiphop,neo soul,old school hiphop",Columbia,0.681,0.505,1,-11.709,1,0.138,0.137,0,0.234,0.399,89.953,4,east
spotify:track:1NHwvBmrUje4L1dxfWnXCH,Put Your Hands Where My Eyes Could See (feat. Jamal),When Disaster Strikes...,Busta Rhymes;Jamal,1997,194293,63,TRUE,m-airon,2024-12-30T13:16:34Z,"east coast hiphop,disco polo",Rhino/Elektra,0.906,0.623,1,-6.711,0,0.303,0.00864,4.19e-6,0.0753,0.715,99.498,4,east
spotify:track:0yX1VnMvtK1QNNHF3JQYMP,Keep It Thoro,H.N.I.C,Prodigy,2000-11-13,185773,43,TRUE,m-airon,2022-03-27T20:31:49Z,"east coast hiphop,old school hiphop",Epic,0.875,0.552,11,-6.484,0,0.3,0.0414,0,0.296,0.794,88.867,4,east
spotify:track:0svl7cK07gK1ia5ainczU5,Break Ya Neck,Genesis,Busta Rhymes,2001-11-13,231240,3,TRUE,m-airon,2019-04-04T23:57:45Z,east coast hiphop,J Records,0.82,0.809,4,-6.759,0,0.251,0.443,0.00175,0.0613,0.737,83.011,4,east
spotify:track:2mehHNForRahnPueLQAgfv,Next Level - Nyte Time Mix,Goodfellas,Showbiz & A.G.,1995-01-01,249933,47,TRUE,m-airon,2024-10-16T13:01:55Z,"east coast hiphop,boombap,old school hiphop",Island Records,0.87,0.498,11,-12.095,0,0.29,6.71e-4,3.89e-4,0.0551,0.489,92.887,4,east
spotify:track:2eOuL8KesslTLQERQPu11D,Bad Boy for Life,The Saga Continues...,Diddy;Black Rob;Mark Curry,2001,253066,62,TRUE,m-airon,2022-03-06T00:09:50Z,"hiphop,east coast hiphop,old school hiphop",Bad Boy Records,0.669,0.829,1,-3.801,1,0.49,0.179,0,0.241,0.61,118.934,4,east
spotify:track:4wwRROf47MXBX5u5Knwixx,We Trying to Stay Alive (feat. John Forté & Pras),Wyclef Jean presents The Carnival featuring Refugee Allstars (feat. Refugee All Stars),Wyclef Jean;John Forte;Pras,1997-06-24,191533,61,FALSE,m-airon,2025-01-01T14:34:05Z,old school hiphop,Ruffhouse/Columbia,0.87,0.614,1,-8.694,1,0.251,0.00564,5.95e-5,0.123,0.644,98.931,4,east
spotify:track:7KwZNVEaqikRSBSpyhXK2j,Hypnotize - 2014 Remaster,Life After Death (2014 Remastered Edition),The Notorious B.I.G.,1997-03-04,229826,83,TRUE,m-airon,2019-04-05T00:06:02Z,"old school hiphop,gangsterrap,east coast hiphop,hiphop",Rhino Atlantic,0.901,0.697,9,-3.439,1,0.28,0.145,0,0.287,0.67,93.941,4,east
spotify:track:6zsk6uF3MxfIeHPlubKBvR,Get Ur Freak On,Miss E... So Addictive,Missy Elliott,2001-05-14,211120,70,TRUE,m-airon,2022-08-13T14:08:50Z,hiphop,Atlantic Records/ATG,0.797,0.75,0,-9.369,1,0.247,0.533,0.108,0.095,0.74,177.87,4,east
spotify:track:1JkrWCnQrSZpNRxpAMXzlW,Got To Have It,4:21...The Day After,Method Man,2006-01-01,253786,57,TRUE,m-airon,2022-03-27T08:41:33Z,"east coast hiphop,old school hiphop,hiphop,hardcore hiphop",Def Jam Recordings,0.596,0.541,4,-8.026,1,0.418,0.102,0,0.145,0.851,95.752,4,east
spotify:track:5HdZE8e4PPwEvDZuhJlfFg,The Ruler's Back,The Blueprint (Explicit Version),JAŸ-Z,2001-09-11,228626,48,TRUE,m-airon,2022-03-27T17:28:13Z,"hiphop,east coast hiphop,rap",Roc-A-Fella,0.51,0.721,2,-6.97,1,0.413,0.00655,1.82e-6,0.0362,0.416,92.163,4,east
spotify:track:0P6NVvZjbbhhDFWlfCdIUQ,Heat,Get Rich Or Die Tryin' (Explicit UK Version),50 Cent,2003-02-06,254893,0,TRUE,warriorkid3000,2021-09-29T03:52:35Z,"old school hiphop,east coast hiphop",Polydor Associated Labels,0.508,0.967,6,-2.777,0,0.568,0.267,0,0.361,0.679,81.167,4,east
